path,type,required,label,opendata,generated,description,thesaurus,,,,,,,
__v,Number,non,,,,,,,,,,,,
_id,ObjectID,non,,,,,,,,,,,,
ACQU,String,non,Modalité d'entrée,,,"Don, legs, dation, achat, dépôt",,,,,,,,
ADPHOT,String,non,Adresse de la personne photographiée,,,,,,,,,,,
ADRESSE,Array,non,Adresse,,,"Hameau, lieu-dit, quartier, cote, bois, etc. ; adresse sous la forme Nom (voie) ##",,,,,,,,
AIRE,String,non,Aire d'étude,,,Aire d'étude,,,,,,,,
ANUMOR,String,non,Ancien numéro de l'original,,,,,,,,,,,
ANUMP,String,non,Ancien numéro du négatif,,,,,,,,,,,
ANUMTI,String,non,Ancien numéro du tirage,,,,,,,,,,,
AUT,Array,non,Auteur du phototype ou du document graphique,,,,,,,,,,,
AUTG,String,non,Auteur de la gravure,,,"Nom, Prénom (profession ou titre et/ou dates)",,,,,,,,
AUTOEU,String,non,Auteur de l'oeuvre représentée,,,"Nom, Prénom (profession ou titre et/ou dates)",,,,,,,,
AUTOR,Array,non,Auteur du document reproduit / auteur de l'original,,,"Nom, Prénom (profession ou titre et/ou dates)",,,,,,,,
AUTP,Array,non,Photographe,,,"Nom, Prénom (profession ou titre et/ou dates)",,,,,,,,
AUTR,Array,non,Auteur de l'œuvre étudiée,,,,,,,,,,,
AUTTI,Array,non,Auteur du tirage,,,"Nom, Prénom (profession ou titre et/ou dates)",,,,,,,,
BASE,String,non,Nom de la base,,true,Nom de la base : Photographies (Mémoire),,,,,,,,
CHRONO,String,non,Chronologie,,,,,,,,,,,
CINEPROD,String,non,Producteur du film,,,,,,,,,,,
COM,Array,non,Commune,,,,,,,,,,,
CONTACT,String,non,Lien vers le service producteur,,,Doit contenir une adresse email valide. Affiche un avertissement si vide.,,,,,,,,
CONTIENT_IMAGE,String,non,Contient une image,,true,"Champ généré à chaque sauvegarde de la notice. Si notice contient des images, la valeur du champs sera oui', sinon 'non'. Ce champs est utilisé pour l'affichage de la phototèque mais pourrait être supprimé et remplacer par une fonction exist dans ES",,,,,,,,
COPY,String,non,Crédit photographique,,,Affiche un avertissement si vide.,,,,,,,,
COTECOR,Array,non,Cote de conservation du document reproduit,,,,,,,,,,,
COTECP,String,non,Cote conservation du phototype,,,,,,,,,,,
COTECTI,String,non,Cote de conservation du tirage,,,,,,,,,,,
COULEUR,String,non,Couleur,,,Couleur [Devrait contenir oui ou non mais contient bcp plus . donnée à nettoyer],,,,,,,,
DATD,String,non,Date dessin,,,Date dessin,,,,,,,,
DATG,String,non,Date gravure,,,Date gravure,,,,,,,,
DATIMM,String,non,Date d'immatriculation,,,Date d'entrée dans les collections ou date de traitement intellectuel,,,,,,,,
DATOEU,Array,non,Date de l'oeuvre,,,"Date de l'œuvre représentée (édifice, objet, pièce de théâtre, film), en année",,,,,,,,
DATOR,String,non,Date de l'original,,,Date de l'original,,,,,,,,
DATPV,String,non,Date de prise de vue,,,AAAA.MM.JJ ; AAAA (vers) ; AAAA-AAAA,,,,,,,,
DATTI,String,non,Date du tirage ,,,AAAA.MM.JJ ; AAAA (vers) ; AAAA-AAAA,,,,,,,,
DENO,String,non,Dénomination de l'œuvre,,,,,,,,,,,
DIFF,String,non,Droits diffusion,,,Droits diffusion,,,,,,,,
DMAJ,String,non,Date de mise à jour,,true,Date de la dernière mise à jour,,,,,,,,
DMIS,String,non,Date de création,,true,Date de la création POP/Mistral,,,,,,,,
DOC,String,non,"Technique, support, dimensions et date du document reproduit",,,,,,,,,,,
DOM,Array,non,Domaine,,,"Architecture, Objet, Portrait, Reportage. Affiche un avertissement si vide.",,,,,,,,
DPT,Array,non,Département,,,,,,,,,,,
DPT_LETTRE,Array,non,Département en lettre,,,,,,,,,,,
ECH,String,non,Échelle du graphique,,,,,,,,,,,
EDIARCH,String,non,Interprétation,,,Interprétation,,,,,,,,
EDIF,String,non,Édifice,,,,,,,,,,,
EMET,String,non,Code du producteur,,,,,,,,,,,
EXPO,String,non,Référence d’exposition de l’image ,,,,,,,,,,,
FORMAT,String,non,Format du négatif,,,,,,,,,,,
FORMATOR,String,non,Format de l'original,,,,,,,,,,,
FORMATTI,String,non,Format du tirage,,,,,,,,,,,
IDPROD,String,non,Nom du producteur,,,Nom du producteur. Affiche un avertissement si vide.,,,,,,,,
IMG,String,non,Lien vers l'image,,,,,,,,,,,
INSEE,Array,non,Code INSEE de la commune,,,Code INSEE de la commune. Doit faire 5 caractères ou plus.,,,,,,,,
JDATPV,String,non,Précision sur la date de prise de vue,,,,,,,,,,,
LAUTP,String,non,Notice biographique,,,,,,,,,,,
LBASE,Array,non,Références liées,,,"Lien vers la notice Palissy ou Mérimée contenant le dossier de l'édifice ou de l'objet représenté. Doit contenir exactement 11 caractères et commencer par ""EA",PA,IA,IM,PM,"EM"",""
""WEB",String,non,Accès Mémoire
LBASE2,String,non,Liens base,,,Liens base [Quelle différence avec LBASE?] requête système permettant d'activer le lien,,,,,,,,
LEG,String,non,Légende,,,"Texte libre, toutes ponctuations admises. Affiche un avertissement si vide.",,,,,,,,
LEG2,String,non,Légende thes.,,,,,,,,,,,
LIB,String,non,Mots candidats,,,,,,,,,,,
LIENS,String,non,Liens divers,,,,,,,,,,,
LIEU,String,non,Lieu-dit,,,,,,,,,,,
LIEUCOR,String,non,Lieu de conservation du document reproduit ou de l'objet,,,Forme REG ; DPT ; COM ; EDIF,,,,,,,,
LIEUCP,String,non,Lieu de conservation de la photo,,,,,,,,,,,
LIEUCTI,String,non,Lieu de conservation du tirage,,,Forme REG ; DPT ; COM ; EDIF,,,,,,,,
LIEUORIG,String,non,Lieu d'origine,,,Lieu d'origine,,,,,,,,
LOCA,String,non,Localisation,,,Concaténation des champs PAYS ; REG ; DPT ; COM. Affiche un avertissement si vide.,,,,,,,,
MARQ,String,non,Rang d'affichage de l'image,,,Saisir 1 pour sélectionner l'image qui illustrera la notice Mérimée ou Palisssy correspondante,,,,,,,,
MCGEO,String,non,Mots-clés géographiques,,,"Régions non administratives, parcs naturels, fleuves, massifs montagneux, îles…",,,,,,,,
MCL,Array,non,Mots-clés,,,,,,,,,,,
MCPER,Array,non,Identité de la personne photographiée,,,"Nom, Prénom (profession ou titre et/ou dates)",,,,,,,,
MENTIONS,String,non,Annotations présentes sur le négatif,,,,,,,,,,,
MENTOR,String,non,Annotations présentes sur l'original,,,,,,,,,,,
MENTTI,String,non,Annotations présentes sur le tirage,,,,,,,,,,,
MOSA,String,non,Mosaïques,,,,,,,,,,,
NEGPOS,String,non,Numéro de la gravure,,,,,,,,,,,
NOMSN,String,non,Nom de l'image numérisée,,,,,,,,,,,
NUM,String,non,N° support,,,,,,,,,,,
NUMAUTP,String,non,Numéro donné par le photographe,,,,,,,,,,,
NUMCD,String,non,Numéro de CD,,,Référence du CD ayant servi au chargement des images,,,,,,,,
NUMF,String,non,Numero de fond,,,,,,,,,,,
NUMI,String,non,Numéro du phototype,,,,,,,,,,,
NUMOP,String,non,N° d'opération,,,N° d'opération,,,,,,,,
NUMOR,String,non,Numéro de l'original,,,,,,,,,,,
NUMP,String,non,Numéro du négatif,,,Numéro du négatif. Doit contenir uniquement des caractères alphanumériques.,,,,,,,,
NUMSITE,String,non,N° du site,,,N° du site,,,,,,,,
NUMTI,String,non,Numéro du tirage,,,Numéro du tirage. Doit contenir uniquement des caractères alphanumériques.,,,,,,,,
NUMVERS,String,non,Numéro de carte à fenêtre,,,,,,,,,,,
NVD,String,non,Référence sur le vidéodisque,,,,,,,,,,,
OBJT,String,non,Objet,,,Saisir le nom de l'objet et sa description dans le même champ,,,,,,,,
OBS,String,non,Observations,,,"Concerne tout phototype, négatif ou tirage. Commentaires de l'auteur de la notice ne trouvant pas place dans d'autres champs",,,,,,,,
OBSOR,String,non,Observations sur l'original,,,Porte sur l'état ou l'histoire du phototype,,,,,,,,
OBSTI,String,non,Observations sur le tirage,,,Porte sur l'état ou l'histoire du tirage,,,,,,,,
PAYS,Array,non,Pays,,,"Si plusieurs noms successifs, les citer tous en utilisant le point-virgule comme séparateur",,,,,,,,
PLOC,String,non,Précision sur la localisation,,,,,,,,,,,
POP_ANCIENNE_REF,String,non,Ancienne reference,,,Ancienne reference avec conversion,,,,,,,,
POP_FLAGS,Array,non,Alertes POP,,true,Informations et avertissements techniques,,,,,,,,
POP_IMPORT,Array,non,,,,,,,,,,,,
PRECOR,String,non,Précisions sur la conservation de l'original,,,,,,,,,,,
PRODUCTEUR,String,non,Producteur,,true,"Producteur de la donnée déterminé grâce à la référence :

      Si la REF commence par IVN ou IVR ou IVD ou IVC, alors PRODUCTEUR=INV

      Si la condition du dessus n'est pas respectée et la REF commence par OA, alors PRODUCTEUR = CAOA

      Si les conditions du dessus ne sont pas respectées et la REF commence par MH, alors PRODUCTEUR = CRMH

      Si les conditions du dessus ne sont pas respectées et la REF commence par AR, alors PRODUCTEUR = ARCH

      Si les conditions du dessus ne sont pas respectées et la REF commence par AP et IDPROD commence par Service départemental, alors PRODUCTEUR = UDAP

      Si les conditions du dessus ne sont pas respectées et la IDPROD commence par SAP ou EMET commence par SAP, alors PRODUCTEUR = MAP

      Sinon PRODUCTEUR = AUTRE
",,,,,,,,
PUBLI,String,non,Référence de publication de l'image,,,"Auteur, titre, lieu, éditeur, date",,,,,,,,
REF,String,oui,Référence,,,"Référence unique de la notice. Doit contenir uniquement des lettres majuscules de A à Z, des chiffres de 0 à 9 et le tiret bas.",,,,,,,,
REFIM,String,non,Référence de l'image,,,,,,,,,,,
REFIMG,String,non,Nom Image,,,"Nom Image. Déprécié dans POP mais utilisé dans certains imports ( import MH dans Mémoire pour les REF : IV,OA,MH,AR,AP )",,,,,,,,
REFJOC,Array,non,Référence aux objets Joconde,,true,REFJOC contient une ou plusieurs références de notice Joconde.,,,,,,,,
REFMUS,Array,non,Référence aux objets Muséo,,true,REFMUS contient une ou plusieurs références de notice Muséo.,,,,,,,,
REG,Array,non,Région,,,,,,,,,,,
RENV,String,non,Phototype(s) en relation,,,,,,,,,,,
REPRO,String,non,Numéro de reproduction,,,Contient le numéro du fichier numérique,,,,,,,,
ROLE,String,non,Rôle interprété,,,Nom de l'acteur : nom du personnage joué,,,,,,,,
SCLE,Array,non,Siècle de l'œuvre,,,12e ; 18e (fin),,,,,,,,
SENS,String,non,Orientation du phototype,,,"V, H, C, O",,,,,,,,
SERIE,Array,non,Titre de la série,,,,,,,,,,,
SITE,String,non,Site,,,,,,,,,,,
STRUCT,String,non,Structure,,,,,,,,,,,
SUJET,String,non,Sujet représenté par la photographie ou le document graphique,,,,,,,,,,,
SUP,String,non,Support,,,,,,,,,,,
TECHN,String,non,Description technique du négatif,,,,,,,,,,,
TECHOR,String,non,Description technique de l'original,,,,,,,,,,,
TECHTI,String,non,Description technique du tirage,,,,,,,,,,,
THEATRE,String,non,Lieu de représentation,,,,,,,,,,,
TICO,String,non,Titre courant de l'œuvre,,,,,,,,,,,
TIREDE,String,non,Référence bibliographique ou documentaire,,,,,,,,,,,
TITRE,String,non,Titre de la pièce de théâtre ou du film,,,,,,,,,,,
TOUT,String,non,Index global,,,Index global [Peut etre déprécié],,,,,,,,
TRL,String,non,Technique de relevé du graphique,,,,,,,,,,,
TYP,String,non,Type,,,Type  [Qu'est ce que c'est ?],,,,,,,,
TYPDOC,String,non,Catégorie de phototype,,,"Négatif, Positif original, Image numérique, Tirage photographique, Reproduction. Affiche un avertissement si vide.",,,,,,,,
TYPEIMG,String,non,Type d'image numérique,,,Forme : oui ou non selon qu'on charge ou non une image,,,,,,,,
TYPSUPP,String,non,Type de support numérique,,,Doublon de TYPSN utilisé dans les versements plus récents ; valeur : DS1,,,,,,,,
VIDEO,String,non,Vidéo,,,Vidéo [Semble être doublon avec IMG],,,,,,,,
VUECD,String,non,No vue CD,,,No vue CD,,,,,,,,
WADRS,Array,non,Adresse éditoriale,,,Adresse éditoriale,,,,,,,,
WCOM,Array,non,Ville,,,Ville [Quelle difference avec COM ?],,,,,,,,
